asdf
name      bytes   iters   total       time     Gb/sec    usec/xfer
2_lat     2       1       2           0.00s      0.02       1.00
4_lat     4       1       4           0.00s      0.03       1.00
8_lat     8       1       8           0.00s      0.06       1.00
16_lat    16      1       16          0.00s      0.13       1.00
32_lat    32      1       32          0.00s      0.26       1.00
64_lat    64      1       64          0.00s      0.51       1.00
128_lat   128     1       128         0.00s      1.02       1.00
256_lat   256     1       256         0.00s      2.05       1.00
512_lat   512     1       512         0.00s      2.05       2.00
1k_lat    1k      1       1k          0.00s      4.10       2.00
2k_lat    2k      1       2k          0.00s      4.10       4.00
4k_lat    4k      1       4k          0.00s      5.46       6.00
8k_lat    8k      1       8k          0.00s      8.19       8.00
16k_lat   16k     1       16k         0.00s     14.56       9.00
32k_lat   32k     1       32k         0.00s     11.40      23.00
64k_lat   64k     1       64k         0.00s     12.79      41.00
128k_lat  128k    1       128k        0.00s     13.80      76.00
256k_lat  256k    1       256k        0.00s     13.53     155.00
512k_lat  512k    1       512k        0.00s     13.27     316.00
1m_lat    1m      1       1m          0.00s     12.97     647.00
2m_lat    2m      1       2m          0.00s     12.93    1298.00
4m_lat    4m      1       4m          0.00s     12.96    2590.00
