name      bytes   iters   total       time     Gb/sec    usec/xfer
2_lat     2       1       2           0.00s      0.00      26.00
4_lat     4       1       4           0.00s      0.00      25.00
8_lat     8       1       8           0.00s      0.00      19.00
16_lat    16      1       16          0.00s      0.01      20.00
32_lat    32      1       32          0.00s      0.01      21.00
64_lat    64      1       64          0.00s      0.03      19.00
128_lat   128     1       128         0.00s      0.05      22.00
256_lat   256     1       256         0.00s      0.10      20.00
512_lat   512     1       512         0.00s      0.18      23.00
1k_lat    1k      1       1k          0.00s      0.34      24.00
2k_lat    2k      1       2k          0.00s      0.47      35.00
4k_lat    4k      1       4k          0.00s      0.80      41.00
8k_lat    8k      1       8k          0.00s      1.64      40.00
16k_lat   16k     1       16k         0.00s      0.30     433.00
32k_lat   32k     1       32k         0.00s      4.03      65.00
64k_lat   64k     1       64k         0.00s      4.90     107.00
128k_lat  128k    1       128k        0.00s      6.39     164.00
256k_lat  256k    1       256k        0.00s      7.54     278.00
512k_lat  512k    1       512k        0.00s      8.36     502.00
1m_lat    1m      1       1m          0.00s      5.43    1546.00
2m_lat    2m      1       2m          0.00s      5.72    2932.00
4m_lat    4m      1       4m          0.01s      5.12    6550.00
